State/UT,Year,Less than 18 years - Male,Less than 18 years - Female,18-25 Years - Male,18-25 Years - Female,25-35 Years - Male,25-35 Years - Female,35-45 Years - Male,35-45 Years - Female,45-60 Years - Male,45-60 Years - Female,60 and Above - Male,61 and Above - Female,Age not known - Male,Age not known - Female,Total - Male,Total - Female
Andaman and Nicobar Islands,2024,1,3,5,1,2,0,3,0,11,1,1,1,0,0,23,6
Andhra Pradesh,2024,502,101,1082,139,1675,260,1655,287,1465,315,667,183,15,0,7061,1285
Arunachal Pradesh,2024,2,0,40,6,47,8,39,4,13,6,3,0,0,0,144,24
Assam,2024,157,51,698,121,944,136,566,88,401,78,48,25,29,9,2843,508
Bihar,2024,346,98,1698,253,2585,485,1713,446,1196,297,161,69,0,0,7699,1648
Chandigarh,2024,4,3,8,3,15,2,9,0,19,3,7,2,0,0,62,13
Chhattisgarh,2024,340,84,1445,135,1575,168,1199,197,837,178,345,118,282,42,6023,922
Dadra and Nagar Haveli and Daman and Diu,2024,10,2,18,2,29,1,14,0,11,5,3,0,0,0,85,10
Delhi,2024,66,17,231,24,383,36,450,32,159,24,68,20,34,7,1391,160
Goa,2024,5,1,54,7,54,9,46,5,55,14,27,9,0,0,241,45
Gujarat,2024,357,109,1420,161,1839,287,1536,264,1038,175,395,99,33,4,6618,1099
Haryana,2024,721,62,854,132,700,104,556,101,324,44,152,34,752,153,4059,630
Himachal Pradesh,2024,85,22,156,30,160,36,138,27,121,25,52,17,0,0,712,157
Jammu and Kashmir,2024,103,25,126,32,77,26,117,18,113,11,122,5,52,4,710,121
Jharkhand,2024,320,123,753,169,811,191,593,171,491,127,163,62,106,34,3237,877
Karnataka,2024,357,91,2335,192,2715,312,2311,380,2117,394,911,275,0,0,10746,1644
Kerala,2024,93,38,535,39,460,46,426,72,741,170,914,221,115,10,3284,596
Ladakh,2024,0,1,5,1,15,1,21,1,11,5,0,0,0,0,52,9
Lakshadweep,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2024,1026,199,2871,399,3518,562,2701,408,1634,322,654,123,306,68,12710,2081
Maharashtra,2024,266,83,2270,165,3687,376,3636,422,2772,511,909,228,340,50,13880,1835
Manipur,2024,1,1,9,2,29,1,10,2,11,1,1,3,1,0,62,10
Meghalaya,2024,11,7,46,6,45,2,45,6,14,4,9,2,0,0,170,27
Mizoram,2024,6,3,21,1,35,3,19,3,11,1,3,4,0,0,95,15
Nagaland,2024,3,1,10,2,19,1,12,3,10,0,1,0,0,0,55,7
Odisha,2024,276,46,1166,162,1405,222,1297,168,842,120,262,57,100,19,5348,794
Puducherry,2024,1,0,22,0,38,3,53,6,57,8,26,4,0,0,197,21
Punjab,2024,101,24,717,102,856,169,1109,175,710,108,260,25,281,122,4034,725
Rajasthan,2024,399,108,2367,271,3323,432,2407,369,1226,191,290,55,319,33,10331,1459
Sikkim,2024,1,1,9,2,10,5,13,7,8,2,1,0,8,0,50,17
Tamil Nadu,2024,471,147,2075,131,3108,261,2749,374,3979,746,3442,955,11,0,15835,2614
Telangana,2024,228,69,1114,91,1752,221,1827,252,1543,246,475,110,16,5,6955,994
Tripura,2024,9,2,36,1,52,7,48,9,37,8,12,5,0,0,194,32
Uttar Pradesh,2024,1564,396,4846,849,5173,883,4242,732,2424,509,1106,223,1013,158,20368,3750
Uttarakhand,2024,53,20,195,36,246,36,192,16,154,24,56,10,38,14,934,156
West Bengal,2024,209,85,1071,179,1694,213,1299,195,1137,195,226,51,106,16,5742,934
