State/UT,Year,06-900 hrs (Day),09-1200 hrs (Day),12-1500 hrs (Day),15-1800 hrs (Day),18-2100 hrs (Night),21-2400 hrs (Night),00-300 hrs (Night),03-600 hrs (Night),Unknown Time,Total Accidents
Andaman and Nicobar Islands,2024,17,14,20,25,36,13,8,2,0,135
Andhra Pradesh,2024,2168,2801,2968,3436,4281,2029,915,959,0,19557
Arunachal Pradesh,2024,28,43,33,45,30,32,29,25,12,277
Assam,2024,728,1032,1181,1470,1590,1084,375,341,47,7848
Bihar,2024,1399,1666,1584,2030,2580,1031,550,770,0,11610
Chandigarh,2024,10,21,28,25,32,35,11,7,0,169
Chhattisgarh,2024,1169,2110,2401,2878,3595,1668,541,495,0,14857
Dadra and Nagar Haveli and Daman and Diu,2024,7,12,14,34,39,31,9,5,1,152
Delhi,2024,552,686,680,713,906,1079,613,428,0,5657
Goa,2024,253,369,378,444,517,349,231,141,0,2682
Gujarat,2024,1482,2279,2326,2588,3493,1969,828,612,11,15588
Haryana,2024,1083,1240,1258,1487,2073,1352,667,551,95,9806
Himachal Pradesh,2024,234,285,315,369,391,281,148,128,5,2156
Jammu and Kashmir,2024,777,926,1183,1251,1119,331,114,85,22,5808
Jharkhand,2024,557,651,698,932,1079,514,280,263,222,5196
Karnataka,2024,4123,5730,6358,7478,9285,5583,2337,2168,0,43062
Kerala,2024,5581,8891,7369,9197,10379,4806,1170,1362,79,48834
Ladakh,2024,38,43,35,60,36,21,7,24,0,264
Lakshadweep,2024,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2024,4332,7167,8769,10510,12198,7661,3361,2433,238,56669
Maharashtra,2024,3673,5080,5369,5977,7161,4778,2144,1795,141,36118
Manipur,2024,25,45,46,62,95,21,1,4,0,299
Meghalaya,2024,31,40,39,53,54,17,13,22,0,269
Mizoram,2024,16,9,24,23,17,23,4,2,0,118
Nagaland,2024,14,14,19,15,22,23,17,5,0,129
Odisha,2024,1206,1691,1769,1990,2351,1341,834,998,195,12375
Puducherry,2024,190,227,232,206,272,174,65,65,0,1431
Punjab,2024,589,752,816,960,1413,707,267,292,267,6063
Rajasthan,2024,2369,3460,4102,4869,5191,2731,1159,837,120,24838
Sikkim,2024,15,18,18,25,23,25,10,7,8,149
Tamil Nadu,2024,7761,9766,9758,11844,16823,6679,1873,3022,0,67526
Telangana,2024,2600,3611,3948,4856,5428,2833,1431,1246,33,25986
Tripura,2024,37,91,84,130,128,79,14,12,3,578
Uttar Pradesh,2024,4908,5309,5373,6717,7644,5023,3323,3311,4444,46052
Uttarakhand,2024,150,229,237,280,351,214,51,60,175,1747
West Bengal,2024,1273,1979,1954,2031,2265,1678,1601,921,0,13702
