State/UT,Year,Valid Permanent License,Learners Licence,Without Licence,Others (Not Known),Total Accidents
Andaman and Nicobar Islands,2024,131,1,3,0,135
Andhra Pradesh,2024,13697,523,2694,2643,19557
Arunachal Pradesh,2024,209,13,22,33,277
Assam,2024,6133,555,494,666,7848
Bihar,2024,2240,82,541,8747,11610
Chandigarh,2024,165,0,4,0,169
Chhattisgarh,2024,8966,731,1810,3350,14857
Dadra and Nagar Haveli and Daman and Diu,2024,106,3,36,7,152
Delhi,2024,2847,75,278,2457,5657
Goa,2024,2633,0,38,11,2682
Gujarat,2024,11780,855,1139,1814,15588
Haryana,2024,4858,184,881,3883,9806
Himachal Pradesh,2024,1345,52,229,530,2156
Jammu and Kashmir,2024,4057,223,101,1427,5808
Jharkhand,2024,1272,231,876,2817,5196
Karnataka,2024,35055,921,5184,1902,43062
Kerala,2024,35821,73,993,11947,48834
Ladakh,2024,206,41,13,4,264
Lakshadweep,2024,0,0,0,0,0
Madhya Pradesh,2024,35107,2600,3464,15498,56669
Maharashtra,2024,28593,552,421,6552,36118
Manipur,2024,147,66,26,60,299
Meghalaya,2024,143,3,15,108,269
Mizoram,2024,98,3,15,2,118
Nagaland,2024,96,7,9,17,129
Odisha,2024,7721,904,1489,2261,12375
Puducherry,2024,1125,0,295,11,1431
Punjab,2024,2743,456,343,2521,6063
Rajasthan,2024,18521,544,451,5322,24838
Sikkim,2024,91,0,9,49,149
Tamil Nadu,2024,55327,2019,4017,6163,67526
Telangana,2024,17499,107,907,7473,25986
Tripura,2024,546,14,13,5,578
Uttar Pradesh,2024,25813,4277,5122,10840,46052
Uttarakhand,2024,1107,39,15,586,1747
West Bengal,2024,6264,340,3400,3698,13702
