State/UT,Year,Residential Area - Total Accidents,Residential Area - Persons Killed,Residential Area - Persons Injured,Institutional Area - Total Accidents,Institutional Area - Persons Killed,Institutional Area - Persons Injured,Market/ Commercial area - Total Accidents,Market/ Commercial area - Persons Killed,Market/ Commercial area - Persons Injured,Open Area - Total Accidents,Open Area - Persons Killed,Open Area - Persons Injured,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured
Andaman and Nicobar Islands,2024,42,8,33,19,2,17,32,10,21,42,9,68,0,0,0
Andhra Pradesh,2024,4425,1669,4527,803,332,902,2481,860,2204,10796,5002,11240,1052,483,1021
Arunachal Pradesh,2024,28,13,20,22,15,23,63,41,34,136,85,93,28,14,34
Assam,2024,2015,857,1756,724,282,676,1609,625,1401,2720,1266,2533,780,321,763
Bihar,2024,3260,2545,1794,546,390,302,2208,1524,1370,5596,4888,3624,0,0,0
Chandigarh,2024,16,6,11,2,2,0,7,3,5,144,64,117,0,0,0
Chhattisgarh,2024,4076,1741,3273,488,160,447,1891,450,1617,7922,4338,6767,480,256,380
Dadra and Nagar Haveli and Daman and Diu,2024,18,9,29,31,16,30,40,30,19,62,39,57,1,1,1
Delhi,2024,827,198,762,187,40,194,736,122,858,2260,641,1984,1647,550,1426
Goa,2024,749,74,287,278,33,77,314,24,148,1339,155,529,2,0,0
Gujarat,2024,3818,1469,3459,1142,528,1051,1822,703,1625,8246,4723,8288,560,294,517
Haryana,2024,2049,832,1544,278,142,239,1212,475,1054,5197,2745,4249,1070,495,828
Himachal Pradesh,2024,450,164,595,104,27,146,486,136,691,1097,533,1769,19,9,25
Jammu and Kashmir,2024,1172,137,1254,105,25,218,1116,71,1768,1954,395,2575,1461,203,2005
Jharkhand,2024,1055,857,655,287,217,243,1132,776,793,2511,2125,1412,211,139,163
Karnataka,2024,4953,815,6342,2178,459,3091,4825,1050,5815,30031,9824,35865,1075,242,1478
Kerala,2024,6896,556,7710,2034,132,2267,5606,390,6134,15284,1308,17441,19014,1494,21244
Ladakh,2024,60,15,71,0,0,0,42,6,61,162,40,191,0,0,0
Lakshadweep,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2024,9749,2181,10127,2762,566,2884,7351,1386,6862,27104,8667,28048,9703,1991,10281
Maharashtra,2024,8341,3064,7408,1742,681,1397,3114,1067,2702,22921,10903,19028,0,0,0
Manipur,2024,84,16,150,46,3,80,71,15,108,94,35,121,4,3,3
Meghalaya,2024,130,91,116,13,7,13,31,20,17,68,52,61,27,27,21
Mizoram,2024,54,50,30,2,1,0,2,2,1,50,46,86,10,11,12
Nagaland,2024,10,4,10,7,1,5,65,27,96,42,26,66,5,4,1
Odisha,2024,2021,969,1813,815,335,787,1959,834,1727,6237,3387,5194,1343,617,1249
Puducherry,2024,307,34,360,102,12,126,796,123,849,204,41,205,22,8,20
Punjab,2024,966,854,540,436,312,283,731,517,422,2676,2118,1478,1254,958,610
Rajasthan,2024,2871,1000,2634,748,224,709,2144,616,1987,16498,8796,15433,2577,1154,2164
Sikkim,2024,25,8,44,13,5,21,11,5,38,82,39,141,18,10,20
Tamil Nadu,2024,12684,3372,13149,9699,2357,10478,20961,5356,21769,23290,7020,25205,892,344,892
Telangana,2024,4673,1335,4095,762,151,674,4338,647,3892,11434,4560,10619,4779,1256,4378
Tripura,2024,342,134,373,53,16,58,122,45,141,61,31,50,0,0,0
Uttar Pradesh,2024,7823,3984,6272,5243,2625,4281,8181,4079,6220,18411,10065,12956,6394,3365,4936
Uttarakhand,2024,235,110,173,129,68,93,503,227,422,713,588,687,167,97,172
West Bengal,2024,4291,2169,3768,373,202,305,2360,1055,2077,4944,2610,4669,1734,640,1699
