State/UT,Year,Over speeding in National Highways - Total accidents,Over speeding on National Highways - Total deaths,Drunken Driving/ Consumption of alcohol and drug on National Highways  - Total Accidents,Drunken Driving/ Consumption of alcohol and drug on National Highways  - Total Deaths,Driving on Wrong side on National Highways - Total Accidents,Driving on Wrong side on National Highways - Total Deaths,Jumping Red Light on National Highways - Total Accidents,Jumping Red Light on National Highways - Total Deaths,Use of Mobile Phone on National Highways - Total Accidents,Use of Mobile Phone on National Highways - Total Deaths,Others on National Highways - Total Accidents,Others on National Highways - Total Deaths,Total Accidents on National Highway,Total Deaths on National Highway
Andaman and Nicobar Islands,2024,0,0,3,0,0,0,0,0,0,0,49,14,52,14
Andhra Pradesh,2024,7223,3367,16,7,37,102,0,0,52,47,790,491,8258,11346
Arunachal Pradesh,2024,80,43,28,20,14,14,0,0,0,0,23,19,145,96
Assam,2024,3288,1508,82,41,218,72,2,0,9,5,167,96,3766,1722
Bihar,2024,3485,2596,6,1,286,263,0,0,0,0,904,1152,4681,4012
Chandigarh,2024,0,0,0,0,0,0,1,0,0,0,12,3,13,3
Chhattisgarh,2024,3774,1768,14,8,73,31,2,0,1,1,292,144,4156,1952
Dadra and Nagar Haveli and Daman and Diu,2024,2,1,0,0,0,0,0,0,0,0,0,0,2,1
Delhi,2024,330,131,8,5,35,13,11,11,28,17,181,81,593,258
Goa,2024,859,96,2,0,3,1,4,0,1,0,51,11,920,108
Gujarat,2024,3361,2101,8,0,86,53,0,0,0,0,64,38,3519,2192
Haryana,2024,2101,1307,52,18,268,88,34,19,58,13,1331,607,3844,2052
Himachal Pradesh,2024,581,158,31,16,98,50,1,1,0,0,307,87,1018,312
Jammu and Kashmir,2024,2013,271,0,0,67,0,19,0,21,0,0,0,2120,271
Jharkhand,2024,1484,1282,180,139,149,112,8,3,50,40,168,110,2039,1686
Karnataka,2024,13149,3988,139,53,165,41,15,0,6,2,734,194,14208,4278
Kerala,2024,5285,451,22,8,268,23,17,0,16,1,4149,457,9757,940
Ladakh,2024,158,31,0,0,2,2,0,0,0,0,31,12,191,45
Lakshadweep,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2024,11911,3976,165,66,1038,311,0,0,156,31,667,260,13937,4644
Maharashtra,2024,8780,4635,99,22,202,110,3,1,0,0,2201,1044,11285,5812
Manipur,2024,176,35,11,3,7,4,0,0,1,0,15,7,210,49
Meghalaya,2024,86,68,9,6,5,3,0,0,0,0,35,25,135,102
Mizoram,2024,15,16,4,4,1,0,0,0,0,0,49,46,69,66
Nagaland,2024,33,17,11,6,16,8,0,0,0,0,26,6,86,37
Odisha,2024,2889,1544,292,139,300,143,32,15,200,92,842,425,4555,2358
Puducherry,2024,486,95,3,0,2,0,0,0,0,0,140,10,631,105
Punjab,2024,1587,1261,52,40,132,120,5,6,29,33,107,102,1912,1562
Rajasthan,2024,6035,3602,18,17,226,131,4,0,7,1,884,534,7174,4285
Sikkim,2024,19,9,5,3,3,0,0,0,0,0,29,12,56,24
Tamil Nadu,2024,14449,4322,31,9,485,138,23,6,7,0,5677,1901,20672,6376
Telangana,2024,7507,2767,130,35,220,57,17,2,6,0,719,205,8599,3066
Tripura,2024,231,104,4,6,7,4,0,0,0,0,0,0,242,114
Uttar Pradesh,2024,9907,5787,814,402,2333,1233,81,22,920,424,3058,1692,17113,9560
Uttarakhand,2024,770,505,3,2,14,7,0,0,0,0,41,29,828,543
West Bengal,2024,1049,452,8,9,25,27,8,9,3,3,3079,1613,4172,2113
