State/UT,Year,T-Junction - Total number of Accidents,T-Junction - Persons Killed,T-Junction - Persons Injured,Y-Junction - Total number of Accidents,Y-Junction - Persons Killed,Y-Junction - Persons Injured,Four arm Junction - Total number of Accidents,Four arm Junction - Persons Killed,Four arm Junction - Persons Injured,Staggered Junction - Total number of Accidents,Staggered Junction - Persons Killed,Staggered Junction - Persons Injured,Round about Junction - Total number of Accidents,Round about Junction - Persons Killed,Round about Junction - Persons Injured
Andaman and Nicobar Islands,2024,8,0,9,6,1,8,3,1,2,0,0,0,0,0,0
Andhra Pradesh,2024,1729,688,1706,825,327,764,806,253,756,1739,671,1456,356,123,349
Arunachal Pradesh,2024,34,22,16,23,11,18,30,9,28,0,0,0,0,0,0
Assam,2024,340,133,284,210,66,160,233,72,192,95,36,73,134,40,105
Bihar,2024,132,104,146,60,52,33,68,49,59,11,10,4,8,5,4
Chandigarh,2024,5,2,6,0,0,0,19,8,14,1,0,2,10,1,10
Chhattisgarh,2024,2018,717,1544,421,176,311,874,282,699,314,170,303,99,41,90
Dadra and Nagar Haveli and Daman and Diu,2024,32,20,22,19,14,19,9,3,8,1,0,1,0,0,0
Delhi,2024,746,178,643,346,95,270,586,149,501,578,167,476,315,64,302
Goa,2024,83,8,40,9,1,2,138,11,21,0,0,0,53,1,19
Gujarat,2024,682,286,642,260,136,282,829,268,685,547,228,439,166,70,125
Haryana,2024,520,237,429,492,304,303,280,145,205,263,138,209,172,92,144
Himachal Pradesh,2024,67,19,99,41,10,71,14,4,19,19,6,33,15,4,13
Jammu and Kashmir,2024,186,45,158,85,12,100,70,19,74,15,0,23,404,83,696
Jharkhand,2024,350,269,226,179,149,141,281,183,229,147,106,88,1208,914,648
Karnataka,2024,3476,839,3784,1571,355,1646,2053,474,2176,1483,500,1760,944,258,1031
Kerala,2024,5741,385,6539,1662,121,1823,1824,93,2033,908,75,1053,261,25,294
Ladakh,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2024,5871,1061,6017,1836,425,1793,2950,482,2539,1401,420,1415,2694,540,3044
Maharashtra,2024,1372,580,1040,862,366,747,1095,282,904,585,257,414,252,56,187
Manipur,2024,30,9,45,11,4,11,10,0,14,6,0,14,1,0,1
Meghalaya,2024,6,7,0,3,3,1,0,0,0,2,1,1,2,2,0
Mizoram,2024,1,1,1,4,4,1,0,0,0,9,10,4,17,16,21
Nagaland,2024,4,3,5,4,0,12,5,3,2,6,4,2,3,4,3
Odisha,2024,1152,536,845,640,292,474,542,231,435,693,346,468,248,116,165
Puducherry,2024,162,28,168,18,1,20,117,9,132,13,2,10,47,2,48
Punjab,2024,317,244,173,146,105,54,214,146,169,112,96,47,184,120,89
Rajasthan,2024,760,292,707,307,110,235,617,144,560,614,277,580,713,351,612
Sikkim,2024,4,1,6,5,4,9,0,0,0,0,0,0,10,3,12
Tamil Nadu,2024,6428,1745,7018,1246,289,1313,1723,351,1808,124,26,117,197,51,199
Telangana,2024,2386,664,2270,599,101,606,710,153,541,1173,368,961,1015,370,931
Tripura,2024,13,5,15,13,5,14,0,0,0,0,0,0,4,1,3
Uttar Pradesh,2024,3504,1847,2269,2649,1427,1780,2682,1381,1800,2228,1050,1503,1784,870,1290
Uttarakhand,2024,42,25,40,34,21,25,66,29,58,2,0,3,26,15,20
West Bengal,2024,914,138,897,209,41,206,637,90,565,86,6,76,120,14,80
