State/UT,Year,Sunny/Clear - Total Accidents,Sunny/Clear - Persons Killed,Sunny/Clear - Persons Injured,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured,Foggy and Misty - Total Accidents,Foggy and Misty - Persons Killed,Foggy and Misty - Persons Injured,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured
Andaman and Nicobar Islands,2024,108,28,115,27,1,24,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2024,15105,6237,15460,1256,563,1279,1548,682,1541,46,14,70,1602,850,1544
Arunachal Pradesh,2024,135,85,83,60,39,37,55,25,51,27,19,33,0,0,0
Assam,2024,4570,1992,4076,905,327,911,1460,634,1261,155,61,134,758,337,747
Bihar,2024,9495,7673,5941,155,115,96,1960,1559,1053,0,0,0,0,0,0
Chandigarh,2024,165,71,129,0,0,0,4,4,4,0,0,0,0,0,0
Chhattisgarh,2024,11119,5153,9271,1375,570,1200,534,333,382,123,105,90,1706,784,1541
Dadra and Nagar Haveli and Daman and Diu,2024,127,79,122,11,8,5,13,8,7,1,0,2,0,0,0
Delhi,2024,3097,822,2702,856,194,1045,177,40,156,0,0,0,1527,495,1321
Goa,2024,2573,270,1021,106,16,20,3,0,0,0,0,0,0,0,0
Gujarat,2024,13187,6553,12670,1108,508,1117,573,315,530,1,1,1,719,340,622
Haryana,2024,7094,3355,6010,339,194,297,977,494,548,80,48,78,1316,598,981
Himachal Pradesh,2024,1746,707,2708,167,83,234,97,31,120,5,2,5,141,46,159
Jammu and Kashmir,2024,3760,476,5508,322,32,560,98,25,127,34,19,53,1594,279,1572
Jharkhand,2024,3338,2615,2121,357,290,290,665,530,414,45,33,36,791,646,405
Karnataka,2024,36506,10524,44184,4228,1189,5619,2184,649,2625,144,28,163,0,0,0
Kerala,2024,40554,2926,45598,4595,520,5109,3618,424,4016,67,10,73,0,0,0
Ladakh,2024,156,31,189,51,11,78,54,18,51,3,1,5,0,0,0
Lakshadweep,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2024,38001,9535,38762,5858,1715,5905,4947,1523,4932,727,186,772,7136,1832,7831
Maharashtra,2024,33270,14342,28148,2333,1086,2008,515,287,379,0,0,0,0,0,0
Manipur,2024,177,43,261,45,10,66,71,16,114,1,0,4,5,3,17
Meghalaya,2024,185,131,148,18,12,23,10,7,13,0,0,0,56,47,44
Mizoram,2024,87,81,98,14,13,11,6,5,3,1,0,1,10,11,16
Nagaland,2024,69,35,85,21,11,30,20,6,21,0,0,0,19,10,42
Odisha,2024,6562,3380,5477,1949,868,1817,1997,962,1784,352,129,356,1515,803,1336
Puducherry,2024,942,137,926,241,34,326,227,41,296,15,4,8,6,2,4
Punjab,2024,3382,2594,1920,466,361,302,880,697,546,124,103,55,1211,1004,510
Rajasthan,2024,20098,9445,18545,508,241,485,719,347,674,94,43,97,3419,1714,3126
Sikkim,2024,68,24,96,10,4,11,13,8,24,4,4,14,54,27,119
Tamil Nadu,2024,66297,18120,70355,721,179,676,508,150,462,0,0,0,0,0,0
Telangana,2024,22479,6859,20535,135,43,103,437,151,387,11,4,14,2924,892,2619
Tripura,2024,501,191,540,45,15,55,27,18,24,0,0,0,5,2,3
Uttar Pradesh,2024,18947,10037,13786,6489,3239,5287,9075,4845,6873,2229,1095,1750,9312,4902,6969
Uttarakhand,2024,1504,966,1353,88,37,81,76,37,59,0,0,0,79,50,54
West Bengal,2024,6983,2996,6603,425,137,433,407,244,350,21,10,21,5866,3289,5111
