State/UT,Fatal accidents(2021),Fatal accidents(2022),Fatal accidents(2023),Fatal accidents(2024),Total accidents(2021),Total accidents(2022),Total accidents(2023),Total accidents(2024),Total died(2021),Total died(2022),Total died(2023),Total died(2024),Total injured(2021),Total injured(2022),Total injured(2023),Total injured(2024)
Andaman and Nicobar Islands,5,11,6,11,41,43,39,52,5,11,6,14,44,39,38,73
Andhra Pradesh,3226,3439,3432,3627,8241,8650,8276,8258,3602,3793,3806,4014,8323,8890,8507,8603
Arunachal Pradesh,85,73,78,85,147,131,156,145,87,73,88,96,150,106,144,102
Assam,1479,1315,1463,1573,3408,3244,3427,3766,1574,1428,1564,1722,2631,2541,2770,3446
Bihar,3242,3636,3775,3554,4349,4601,4925,4681,3517,3953,4078,4012,3534,3063,2901,3167
Chandigarh,21,8,4,3,29,29,11,13,21,9,4,3,21,21,11,12
Chhattisgarh,1505,1703,1765,1799,3610,4115,4144,4156,1663,1885,1910,1952,2906,3400,3539,3323
Dadra and Nagar Haveli and Daman and Diu,0,9,2,1,0,14,3,2,0,9,2,1,0,13,3,2
Delhi,200,242,219,233,457,799,745,593,201,252,230,258,427,717,657,508
Goa,79,118,95,103,1116,1259,1125,920,83,127,102,108,228,327,345,257
Gujarat,1867,1899,2032,1967,3406,3536,3607,3519,2077,2109,2233,2192,2781,3228,3049,3130
Haryana,1729,1991,1796,1895,3174,3727,3642,3844,1766,2038,2033,2052,2514,3197,2835,2866
Himachal Pradesh,381,375,305,283,1179,1258,1074,1018,425,443,365,312,1645,1983,1581,1563
Jammu and Kashmir,234,239,284,252,1899,2378,2342,2120,268,259,294,271,2175,2319,2456,2270
Jharkhand,1357,1532,1498,1513,1890,2125,1994,2039,1496,1699,1672,1686,1138,1410,1252,1185
Karnataka,3228,3758,4003,3943,11462,13384,14270,14208,3487,4164,4383,4278,13229,16337,17360,18020
Kerala,912,1122,994,883,8048,17627,10640,9757,975,1197,1056,940,8984,17799,12105,11060
Ladakh,24,30,30,43,119,196,132,191,27,30,37,45,119,179,192,239
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,3033,3680,4058,4267,11030,13860,14561,13937,3389,4025,4476,4644,10468,13911,14393,13922
Maharashtra,3678,4459,5116,5290,7501,9417,10881,11285,4080,4923,5780,5812,5901,8174,9474,9723
Manipur,66,68,49,46,236,313,272,210,77,74,51,49,320,466,462,338
Meghalaya,91,88,74,89,153,157,114,135,112,98,78,102,175,204,109,107
Mizoram,22,55,41,60,29,77,57,69,23,72,47,66,27,59,47,69
Nagaland,26,48,49,35,488,304,201,86,25,55,60,37,240,192,160,132
Odisha,1812,1917,2020,2186,4087,4317,4587,4555,1933,2043,2180,2358,3520,3746,3997,4257
Puducherry,97,70,71,104,587,448,497,631,87,71,74,105,643,428,502,679
Punjab,1714,1754,1731,1446,2288,2293,2388,1912,1950,1881,1895,1562,1100,1172,1315,1171
Rajasthan,3270,3574,3653,3694,6424,7093,7179,7174,3829,4156,4172,4285,6065,6924,6955,6809
Sikkim,21,23,24,24,73,74,83,56,23,27,24,24,110,166,146,110
Tamil Nadu,4944,5582,5850,5957,16869,18972,20582,20672,5263,5978,6258,6376,17596,21138,23575,23292
Telangana,2507,2764,2808,2832,7214,7505,8103,8599,2735,3010,3058,3066,6916,6949,7116,7876
Tripura,86,99,121,103,199,241,255,242,94,105,129,114,207,224,252,282
Uttar Pradesh,7630,7582,7706,8737,14540,14990,15184,17113,8506,8479,8446,9560,9512,10195,10464,12677
Uttarakhand,393,448,508,482,711,827,840,828,430,545,564,543,546,908,749,730
West Bengal,1989,1860,1807,1923,3821,3993,3841,4172,2177,2017,1957,2113,3570,3927,3570,3868
Total,50953,55571,57467,59043,128825,151997,150177,150958,56007,61038,63112,64772,117765,144352,143031,145868
