State/UT,Fatal accidents(2021),Fatal accidents(2022),Fatal accidents(2023),Fatal accidents(2024),Total accidents(2021),Total accidents(2022),Total accidents(2023),Total accidents(2024),Total Died(2021),Total Died(2022),Total Died(2023),Total Died(2024),Total injured(2021),Total injured(2022),Total injured(2023),Total injured(2024)
Andaman and Nicobar Islands,3,2,5,7,31,44,49,37,4,2,5,7,25,45,54,27
Andhra Pradesh,1781,1750,1752,1791,4704,4843,4499,4406,1904,1869,1887,1909,4786,4931,4595,4369
Arunachal Pradesh,36,38,31,32,75,71,80,73,39,44,38,43,106,48,69,62
Assam,601,646,655,607,1782,1758,1750,1485,629,635,707,620,1460,1514,1454,1394
Bihar,1598,1840,1685,1900,2115,2428,2248,2501,1747,1997,1797,2094,1927,1679,1391,1455
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,924,944,959,1057,2166,2140,2136,2305,998,1027,1078,1154,2056,2303,2029,2015
Dadra and Nagar Haveli and Daman and Diu,28,21,28,33,56,57,60,55,29,22,28,33,66,68,51,38
Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,30,42,47,25,444,446,410,304,30,45,51,25,103,206,188,153
Gujarat,2150,2041,2009,2007,4394,4053,4059,3936,2391,2265,2233,2229,4350,4310,4389,4309
Haryana,891,753,688,588,1662,1660,1368,1310,902,758,732,664,1334,1461,1410,1102
Himachal Pradesh,161,159,147,111,517,542,419,344,203,193,177,128,784,839,593,575
Jammu and Kashmir,59,62,81,69,662,599,730,622,78,84,91,75,958,1868,1763,1508
Jharkhand,724,744,749,801,1041,1069,1044,1113,795,812,814,872,733,836,673,746
Karnataka,2609,3046,3261,3221,8820,9800,10956,10757,2777,3278,3448,3444,11507,12839,14685,14328
Kerala,731,927,902,832,7290,9441,10830,10946,768,986,939,871,8161,11002,12505,12446
Ladakh,18,17,10,14,82,104,84,59,20,17,13,14,71,81,66,72
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2674,2825,2786,2968,11475,11829,11621,11318,3022,3157,2960,3245,12052,12471,12294,12107
Maharashtra,3151,3447,2934,2916,6328,6902,6056,5814,3411,3820,3215,3169,5078,5418,4953,4603
Manipur,21,21,9,10,75,107,55,45,21,23,9,10,99,177,66,68
Meghalaya,29,24,28,24,46,31,36,41,39,25,34,25,48,30,48,44
Mizoram,26,24,31,31,40,35,41,38,33,27,36,33,38,33,49,34
Nagaland,16,12,19,8,143,135,77,14,16,10,19,9,82,62,74,14
Odisha,1001,1202,1073,1075,2339,2648,2396,2270,1099,1274,1150,1163,2129,2373,2127,1877
Puducherry,16,10,17,48,122,94,134,349,19,10,17,48,117,101,140,385
Punjab,1266,1272,1238,941,1825,1888,1762,1273,1363,1381,1330,1023,994,1051,939,674
Rajasthan,1687,1984,2094,2156,3560,4160,4258,4306,1945,2224,2380,2343,3385,4143,3998,4111
Sikkim,14,15,15,20,53,62,45,49,18,20,15,24,79,96,142,101
Tamil Nadu,4911,6107,6041,5811,18656,22633,23166,22004,5112,6364,6325,6069,18409,23387,24420,22908
Telangana,807,735,674,643,2192,2183,1860,2028,864,820,717,686,2075,2042,1705,1815
Tripura,56,76,78,73,171,193,209,237,60,77,85,73,243,181,225,251
Uttar Pradesh,5669,5822,5230,4777,11096,12068,10447,9876,6266,6405,5698,5242,7155,8264,7361,7647
Uttarakhand,152,140,151,169,294,256,283,297,174,149,167,183,238,182,223,274
West Bengal,1106,1113,1168,1627,2126,2403,2494,3326,1187,1192,1244,1750,1935,2444,2441,2858
Total,34946,37861,36595,36392,96382,106682,105662,103538,37963,41012,39439,39277,92583,106485,107120,104370
