Sl. No.,Rank(2024),State/UT,Total accidents(2021),State Share(2021),Accident/population(Lakh)(2021),Total accidents(2022),State Share(2022),Accident/population(Lakh)(2022),Total accidents(2023),State Share(2023),Accident/population(Lakh)(2023),Total accidents(2024),State Share(2024),Accident/population(Lakh)(2024)
1,1,Tamil Nadu,55682,13.5,72.9,64105,13.9,83.7,67213,14,87.4,67526,13.8,87.6
2,2,Madhya Pradesh,48877,11.9,57.8,54432,11.8,63.6,55327,11.5,63.9,56669,11.6,64.7
3,3,Kerala,33296,8.1,93.8,43910,9.5,123.2,48091,10,134.4,48834,10,136
4,4,Uttar Pradesh,37729,9.1,16.3,41746,9,17.9,44534,9.3,18.9,46052,9.4,19.3
5,5,Karnataka,34647,8.4,51.8,39762,8.6,59.1,43440,9,64.2,43062,8.8,63.2
6,6,Maharashtra,29477,7.1,23.7,33383,7.2,26.6,35243,7.3,27.9,36118,7.4,28.4
7,7,Telangana,21315,5.2,56.5,21619,4.7,57,22903,4.8,60.1,25986,5.3,67.9
8,8,Rajasthan,20951,5.1,26.4,23614,5.1,29.5,24694,5.1,30.5,24838,5.1,30.3
9,9,Andhra Pradesh,21556,5.2,40.8,21249,4.6,40.1,19949,4.2,37.5,19557,4,36.7
10,10,Gujarat,15186,3.7,21.8,15751,3.4,22.3,16349,3.4,22.9,15588,3.2,21.5
11,11,Chhattisgarh,12375,3,42,13279,2.9,44.5,13468,2.8,44.6,14857,3,48.7
12,12,West Bengal,11937,2.9,12.2,13686,3,13.9,13795,2.9,13.9,13702,2.8,13.8
13,13,Odisha,10983,2.7,24,11663,2.5,25.4,11992,2.5,25.9,12375,2.5,26.6
14,14,Bihar,9553,2.3,7.8,10801,2.3,8.6,11014,2.3,8.7,11610,2.4,9
15,15,Haryana,9933,2.4,33.7,10429,2.3,34.9,10463,2.2,34.6,9806,2,32.1
16,16,Assam,7411,1.8,21.1,7023,1.5,19.9,7421,1.5,20.8,7848,1.6,21.8
17,17,Punjab,5871,1.4,19.4,6138,1.3,20.1,6269,1.3,20.4,6063,1.2,19.6
18,18,Jammu and Kashmir,5452,1.3,40.7,6092,1.3,45.1,6298,1.3,46.3,5808,1.2,42.4
19,19,Delhi,4720,1.1,22.9,5652,1.2,27,5834,1.2,27.3,5657,1.2,26
20,20,Jharkhand,4728,1.1,12.3,5175,1.1,13.3,5315,1.1,13.5,5196,1.1,13
21,21,Goa,2849,0.7,182.7,3011,0.7,192.2,2846,0.6,180.7,2682,0.5,169.4
22,22,Himachal Pradesh,2404,0.6,32.5,2597,0.6,34.9,2253,0.5,30.2,2156,0.4,28.7
23,23,Uttarakhand,1405,0.3,12.3,1674,0.4,14.5,1691,0.4,14.5,1747,0.4,14.9
24,24,Puducherry,1049,0.3,66.8,1181,0.3,73.4,1308,0.3,79.5,1431,0.3,85
25,25,Tripura,479,0.1,11.8,575,0.1,14,577,0.1,13.9,578,0.1,13.8
26,26,Manipur,366,0.1,11.6,508,0.1,15.9,398,0.1,12.3,299,0.1,9.2
27,27,Arunachal Pradesh,283,0.1,18.5,227,0,14.7,287,0.1,18.4,277,0.1,17.6
28,28,Meghalaya,245,0.1,7.5,246,0.1,7.4,223,0,6.7,269,0.1,8
29,29,Ladakh,236,0.1,79.5,374,0.1,125.1,289,0.1,96.3,264,0.1,87.4
30,30,Chandigarh,208,0.1,17.2,237,0.1,19.4,182,0,14.8,169,0,13.6
31,31,Dadra and Nagar Haveli and Daman and Diu,140,0,13,196,0,16.8,182,0,14.4,152,0,11.1
32,32,Sikkim,155,0,22.9,211,0,30.9,182,0,26.4,149,0,21.4
33,33,Andaman and Nicobar Islands,115,0,28.8,141,0,35.1,143,0,35.5,135,0,33.4
34,34,Nagaland,746,0.2,34,489,0.1,22.1,303,0.1,13.6,129,0,5.7
35,35,Mizoram,69,0,5.7,133,0,10.8,106,0,8.6,118,0,9.4
36,36,Lakshadweep,4,0,5.9,3,0,4.4,1,0,1.4,0,0,0
Total,NA,Total,412432,100,30.3,461312,100,33.5,480583,100,34.6,487707,100,34.8
