Sl. No.,State/UT,Fatal accidents(2021),Fatal accidents(2022),Fatal accidents(2023),Fatal accidents(2024),Rank(2024)
1,Andaman and Nicobar Islands,19,19,23,26,35
2,Andhra Pradesh,7585,7688,7516,7722,8
3,Arunachal Pradesh,150,123,124,138,27
4,Assam,2893,2837,3101,3176,18
5,Bihar,7061,8242,8286,8504,7
6,Chandigarh,94,79,64,72,30
7,Chhattisgarh,4982,5446,5743,6463,11
8,Dadra and Nagar Haveli and Daman and Diu,71,88,73,88,29
9,Delhi,1206,1428,1432,1504,19
10,Goa,218,253,272,271,23
11,Gujarat,6825,6999,7225,7088,10
12,Haryana,4403,4593,4652,4389,15
13,Himachal Pradesh,871,864,727,741,21
14,Jammu and Kashmir,642,654,730,676,22
15,Jharkhand,3221,3570,3799,3773,16
16,Karnataka,9458,10854,11603,11616,5
17,Kerala,3262,4104,3884,3702,17
18,Ladakh,48,60,49,59,36
19,Lakshadweep,1,0,0,0,24
20,Madhya Pradesh,10806,12183,12745,13661,4
21,Maharashtra,12554,14058,14119,14565,3
22,Manipur,99,109,71,68,31
23,Meghalaya,150,147,151,179,26
24,Mizoram,48,94,80,101,28
25,Nagaland,56,67,75,56,34
26,Odisha,4756,5140,5395,5779,13
27,Puducherry,158,175,145,216,24
28,Punjab,4250,4418,4516,4445,14
29,Rajasthan,9055,10061,10657,10775,6
30,Sikkim,40,58,56,63,32
31,Tamil Nadu,14747,17080,17526,17640,2
32,Telangana,7080,7057,7186,7495,9
33,Tripura,181,232,242,213,25
34,Uttar Pradesh,19026,20524,21653,22013,1
35,Uttarakhand,742,851,925,929,20
36,West Bengal,5405,5626,5664,6172,12
Total,Total,142163,155781,160509,164378,NA
