Sl. No.,State/UT,Valid Permanent License,Learners Licence,Without Licence,Others (Not Known),Total Accidents
1,Andhra Pradesh,13697,523,2694,2643,19557
2,Arunachal Pradesh,209,13,22,33,277
3,Assam,6133,555,494,666,7848
4,Bihar,2240,82,541,8747,11610
5,Chhattisgarh,8966,731,1810,3350,14857
6,Goa,2633,0,38,11,2682
7,Gujarat,11780,855,1139,1814,15588
8,Haryana,4858,184,881,3883,9806
9,Himachal Pradesh,1345,52,229,530,2156
10,Jharkhand,1272,231,876,2817,5196
11,Karnataka,35055,921,5184,1902,43062
12,Kerala,35821,73,993,11947,48834
13,Madhya Pradesh,35107,2600,3464,15498,56669
14,Maharashtra,28593,552,421,6552,36118
15,Manipur,147,66,26,60,299
16,Meghalaya,143,3,15,108,269
17,Mizoram,98,3,15,2,118
18,Nagaland,96,7,9,17,129
19,Odisha,7721,904,1489,2261,12375
20,Punjab,2743,456,343,2521,6063
21,Rajasthan,18521,544,451,5322,24838
22,Sikkim,91,0,9,49,149
23,Tamil Nadu,55327,2019,4017,6163,67526
24,Telangana,17499,107,907,7473,25986
25,Tripura,546,14,13,5,578
26,Uttarakhand,1107,39,15,586,1747
27,Uttar Pradesh,25813,4277,5122,10840,46052
28,West Bengal,6264,340,3400,3698,13702
29,Andaman and Nicobar Islands,131,1,3,0,135
30,Chandigarh,165,0,4,0,169
31,Dadra and Nagar Haveli and Daman and Diu,106,3,36,7,152
32,Delhi,2847,75,278,2457,5657
33,Jammu and Kashmir,4057,223,101,1427,5808
34,Ladakh,206,41,13,4,264
35,Lakshadweep,0,0,0,0,0
36,Puducherry,1125,0,295,11,1431
Total,Total,332462,16494,35347,103404,487707
