Sl. No.,State/UT,Sunny/Clear - Total Accidents - Number,Sunny/Clear - Total Accidents - Rank,Sunny/Clear - Persons Killed - Number,Sunny/Clear - Persons Killed - Rank,Sunny/Clear - Persons Injured - Grievously Injured,Sunny/Clear - Persons Injured - Minor Injury,Sunny/Clear - Persons Injured - Total Injured,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Grievously Injured,Rainy - Persons Injured - Minor Injury,Rainy - Persons Injured - Total Injured,Foggy and Misty - Total Accidents,Foggy and Misty - Persons Killed,Foggy and Misty - Persons Injured - Grievously Injured,Foggy and Misty - Persons Injured - Minor Injury,Foggy and Misty - Persons Injured - Total Injured,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Grievously Injured,Hail/Sleet - Persons Injured - Minor Injury,Hail/Sleet - Persons Injured - Total Injured,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Grievously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
1,Andhra Pradesh,15105,9,6237,10,4021,11439,15460,1256,563,477,802,1279,1548,682,571,970,1541,46,14,19,51,70,1602,850,351,1193,1544
2,Arunachal Pradesh,135,30,85,27,65,18,83,60,39,23,14,37,55,25,30,21,51,27,19,25,8,33,0,0,0,0,0
3,Assam,4570,16,1992,18,3596,480,4076,905,327,675,236,911,1460,634,1090,171,1261,155,61,119,15,134,758,337,681,66,747
4,Bihar,9495,12,7673,7,3685,2256,5941,155,115,58,38,96,1960,1559,643,410,1053,0,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,11119,11,5153,11,1591,7680,9271,1375,570,183,1017,1200,534,333,75,307,382,123,105,12,78,90,1706,784,221,1320,1541
6,Goa,2573,21,270,23,270,751,1021,106,16,6,14,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Gujarat,13187,10,6553,9,7812,4858,12670,1108,508,746,371,1117,573,315,357,173,530,1,1,1,0,1,719,340,385,237,622
8,Haryana,7094,13,3355,13,2301,3709,6010,339,194,88,209,297,977,494,182,366,548,80,48,23,55,78,1316,598,280,701,981
9,Himachal Pradesh,1746,22,707,21,593,2115,2708,167,83,67,167,234,97,31,38,82,120,5,2,3,2,5,141,46,43,116,159
10,Jharkhand,3338,19,2615,16,1773,348,2121,357,290,230,60,290,665,530,305,109,414,45,33,31,5,36,791,646,314,91,405
11,Karnataka,36506,4,10524,3,25058,19126,44184,4228,1189,3217,2402,5619,2184,649,1627,998,2625,144,28,65,98,163,0,0,0,0,0
12,Kerala,40554,2,2926,15,31758,13840,45598,4595,520,3535,1574,5109,3618,424,2796,1220,4016,67,10,48,25,73,0,0,0,0,0
13,Madhya Pradesh,38001,3,9535,5,5854,32908,38762,5858,1715,884,5021,5905,4947,1523,818,4114,4932,727,186,45,727,772,7136,1832,1133,6698,7831
14,Maharashtra,33270,5,14342,2,20372,7776,28148,2333,1086,1381,627,2008,515,287,298,81,379,0,0,0,0,0,0,0,0,0,0
15,Manipur,177,27,43,31,74,187,261,45,10,15,51,66,71,16,18,96,114,1,0,0,4,4,5,3,2,15,17
16,Meghalaya,185,26,131,26,101,47,148,18,12,9,14,23,10,7,8,5,13,0,0,0,0,0,56,47,23,21,44
17,Mizoram,87,33,81,28,21,77,98,14,13,4,7,11,6,5,1,2,3,1,0,0,1,1,10,11,8,8,16
18,Nagaland,69,34,35,32,45,40,85,21,11,8,22,30,20,6,15,6,21,0,0,0,0,0,19,10,14,28,42
19,Odisha,6562,15,3380,12,3492,1985,5477,1949,868,1125,692,1817,1997,962,1066,718,1784,352,129,226,130,356,1515,803,808,528,1336
20,Punjab,3382,18,2594,17,1425,495,1920,466,361,208,94,302,880,697,391,155,546,124,103,44,11,55,1211,1004,335,175,510
21,Rajasthan,20098,7,9445,6,4674,13871,18545,508,241,155,330,485,719,347,161,513,674,94,43,12,85,97,3419,1714,1342,1784,3126
22,Sikkim,68,35,24,35,48,48,96,10,4,4,7,11,13,8,13,11,24,4,4,2,12,14,54,27,55,64,119
23,Tamil Nadu,66297,1,18120,1,26744,43611,70355,721,179,282,394,676,508,150,219,243,462,0,0,0,0,0,0,0,0,0,0
24,Telangana,22479,6,6859,8,2788,17747,20535,135,43,15,88,103,437,151,124,263,387,11,4,0,14,14,2924,892,319,2300,2619
25,Tripura,501,25,191,24,538,2,540,45,15,54,1,55,27,18,24,0,24,0,0,0,0,0,5,2,3,0,3
26,Uttarakhand,1504,23,966,19,1112,241,1353,88,37,60,21,81,76,37,39,20,59,0,0,0,0,0,79,50,44,10,54
27,Uttar Pradesh,18947,8,10037,4,8917,4869,13786,6489,3239,3667,1620,5287,9075,4845,4677,2196,6873,2229,1095,1313,437,1750,9312,4902,4526,2443,6969
28,West Bengal,6983,14,2996,14,4625,1978,6603,425,137,286,147,433,407,244,257,93,350,21,10,10,11,21,5866,3289,3770,1341,5111
29,Andaman and Nicobar Islands,108,32,28,34,57,58,115,27,1,7,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,165,28,71,30,10,119,129,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0
31,Dadra and Nagar Haveli and Daman and Diu,127,31,79,29,72,50,122,11,8,5,0,5,13,8,5,2,7,1,0,2,0,2,0,0,0,0,0
32,Delhi,3097,20,822,20,113,2589,2702,856,194,62,983,1045,177,40,18,138,156,0,0,0,0,0,1527,495,41,1280,1321
33,Jammu and Kashmir,3760,17,476,22,3017,2491,5508,322,32,174,386,560,98,25,76,51,127,34,19,35,18,53,1594,279,716,856,1572
34,Ladakh,156,29,31,33,32,157,189,51,11,6,72,78,54,18,13,38,51,3,1,0,5,5,0,0,0,0,0
35,Lakshadweep,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,942,24,137,25,331,595,926,241,34,71,255,326,227,41,64,232,296,15,4,3,5,8,6,2,2,2,4
Total,Total,372387,NA,128513,NA,166985,198561,365546,35284,12665,17787,17753,35540,33955,15115,16019,13808,29827,4310,1919,2038,1797,3835,41771,18963,15416,21277,36693
