Sl. No.,State/UT,06-900 hrs (Day),09-1200 hrs (Day),12-1500 hrs (Day),15-1800 hrs (Day),18-2100 hrs (Night),21-2400 hrs (Night),00-300 hrs (Night),03-600 hrs (Night),Unknown Time,Total Accidents
1,Andhra Pradesh,2168,2801,2968,3436,4281,2029,915,959,0,19557
2,Arunachal Pradesh,28,43,33,45,30,32,29,25,12,277
3,Assam,728,1032,1181,1470,1590,1084,375,341,47,7848
4,Bihar,1399,1666,1584,2030,2580,1031,550,770,0,11610
5,Chhattisgarh,1169,2110,2401,2878,3595,1668,541,495,0,14857
6,Goa,253,369,378,444,517,349,231,141,0,2682
7,Gujarat,1482,2279,2326,2588,3493,1969,828,612,11,15588
8,Haryana,1083,1240,1258,1487,2073,1352,667,551,95,9806
9,Himachal Pradesh,234,285,315,369,391,281,148,128,5,2156
10,Jharkhand,557,651,698,932,1079,514,280,263,222,5196
11,Karnataka,4123,5730,6358,7478,9285,5583,2337,2168,0,43062
12,Kerala,5581,8891,7369,9197,10379,4806,1170,1362,79,48834
13,Madhya Pradesh,4332,7167,8769,10510,12198,7661,3361,2433,238,56669
14,Maharashtra,3673,5080,5369,5977,7161,4778,2144,1795,141,36118
15,Manipur,25,45,46,62,95,21,1,4,0,299
16,Meghalaya,31,40,39,53,54,17,13,22,0,269
17,Mizoram,16,9,24,23,17,23,4,2,0,118
18,Nagaland,14,14,19,15,22,23,17,5,0,129
19,Odisha,1206,1691,1769,1990,2351,1341,834,998,195,12375
20,Punjab,589,752,816,960,1413,707,267,292,267,6063
21,Rajasthan,2369,3460,4102,4869,5191,2731,1159,837,120,24838
22,Sikkim,15,18,18,25,23,25,10,7,8,149
23,Tamil Nadu,7761,9766,9758,11844,16823,6679,1873,3022,0,67526
24,Telangana,2600,3611,3948,4856,5428,2833,1431,1246,33,25986
25,Tripura,37,91,84,130,128,79,14,12,3,578
26,Uttarakhand,150,229,237,280,351,214,51,60,175,1747
27,Uttar Pradesh,4908,5309,5373,6717,7644,5023,3323,3311,4444,46052
28,West Bengal,1273,1979,1954,2031,2265,1678,1601,921,0,13702
29,Andaman and Nicobar Islands,17,14,20,25,36,13,8,2,0,135
30,Chandigarh,10,21,28,25,32,35,11,7,0,169
31,Dadra and Nagar Haveli and Daman and Diu,7,12,14,34,39,31,9,5,1,152
32,Delhi,552,686,680,713,906,1079,613,428,0,5657
33,Jammu and Kashmir,777,926,1183,1251,1119,331,114,85,22,5808
34,Ladakh,38,43,35,60,36,21,7,24,0,264
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0
36,Puducherry,190,227,232,206,272,174,65,65,0,1431
Total,Total,49395,68287,71386,85010,102897,56215,25001,23398,6118,487707
