Sl. No.,State/UT,2021,2022,2023,2024 - Number,2024 - Rank
1,Andhra Pradesh,7585,7688,7516,7722,8
2,Arunachal Pradesh,150,123,124,138,27
3,Assam,2893,2837,3101,3176,18
4,Bihar,7061,8242,8286,8504,7
5,Chhattisgarh,4982,5446,5743,6463,11
6,Goa,218,253,272,271,23
7,Gujarat,6825,6999,7225,7088,10
8,Haryana,4403,4593,4652,4389,15
9,Himachal Pradesh,871,864,727,741,21
10,Jharkhand,3221,3570,3799,3773,16
11,Karnataka,9458,10854,11603,11616,5
12,Kerala,3262,4104,3884,3702,17
13,Madhya Pradesh,10806,12183,12745,13661,4
14,Maharashtra,12554,14058,14119,14565,3
15,Manipur,99,109,71,68,31
16,Meghalaya,150,147,151,179,26
17,Mizoram,48,94,80,101,28
18,Nagaland,56,67,75,56,34
19,Odisha,4756,5140,5395,5779,13
20,Punjab,4250,4418,4516,4445,14
21,Rajasthan,9055,10061,10657,10775,6
22,Sikkim,40,58,56,63,32
23,Tamil Nadu,14747,17080,17526,17640,2
24,Telangana,7080,7057,7186,7495,9
25,Tripura,181,232,242,213,25
26,Uttarakhand,742,851,925,929,20
27,Uttar Pradesh,19026,20524,21653,22013,1
28,West Bengal,5405,5626,5664,6172,12
29,Andaman and Nicobar Islands,19,19,23,26,35
30,Chandigarh,94,79,64,72,30
31,Dadra and Nagar Haveli and Daman and Diu,71,88,73,88,29
32,Delhi,1206,1428,1432,1504,19
33,Jammu and Kashmir,642,654,730,676,22
34,Ladakh,48,60,49,59,36
35,Lakshadweep,1,0,0,0,24
36,Puducherry,158,175,145,216,24
Total,Total,142163,155781,160509,164378,NA
